question,answer
"M?t lái xe ô tô, vào lúc 14h30 ngày 12/04/2025, dang di chuy?n trên du?ng t?nh qu?c L?ng Son, Vi?t Nam, vu?t quá t?c d? quy d?nh 30 km/h, ch?y l? trái vào làn xe ph?i, d?ng th?i b? qua tín hi?u dèn d? t?i m?t du?ng t?t. Hành vi vi ph?m giao thông nào mà ngu?i lái xe này dã th?c hi?n?","Ð?i v?i tình hu?ng: M?t lái xe ô tô, vào lúc 14h30 ngày 12/04/2025, dang di chuy?n trên du?ng t?nh qu?c L?ng Son, Vi?t Nam, vu?t quá t?c d? quy d?nh 30 km/h, ch?y l? trái vào làn xe ph?i, d?ng th?i b? qua tín hi?u dèn d? t?i m?t du?ng t?t. Hành vi vi ph?m giao thông nào mà ngu?i lái xe này dã th?c hi?n?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2019, x? lý nhu sau:
1. Vu?t quá t?c d? quy d?nh 30 km/h
Vi ph?m t?c d? vu?t quá gi?i h?n quy d?nh trên du?ng t?nh qu?c.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
2. Ch?y l? trái vào làn xe ph?i
Vi ph?m di?u khi?n phuong ti?n không dúng phía du?ng.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
3. B? qua tín hi?u dèn d?
Vi ph?m không tuân th? tín hi?u giao thông t?i du?ng t?t.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
Can c?: Lu?t Giao thông du?ng b? 2019, Ði?u 30, Vu?t quá t?c d? quy d?nh; Lu?t Giao thông du?ng b? 2019, Ði?u 31, Ði?u khi?n phuong ti?n không dúng phía du?ng; Lu?t Giao thông du?ng b? 2019, Ði?u 32, B? qua tín hi?u giao thông.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 15000000 d?n 30000000 d?ng), và có nguy co b? tu?c GPLX t?i da 18 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 15,000,000 – 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng."
"Vào lúc 17:30 phút ngày 20/9/2023, t?i giao l? du?ng 2 chi?u, du?ng ph? Nguy?n Th? Minh Khai, qu?n 10, Thành ph? H? Chí Minh, m?t chi?c xe ô tô lo?i 4 ch? (dang ký s? 21A34567) du?c lái b?i Lê Van Hùng, khi dang di chuy?n v?i t?c d? 70 km/h trên l? ph?i (di?u ki?n gi?i h?n t?c d? 50 km/h) và không deo dây an toàn khi dã d?ng t?i dèn d?, dã vi ph?m hai hành vi giao thông: (1) vu?t t?c d? quy d?nh; (2) không deo dây an toàn. Hãy li?t kê các hành vi vi ph?m và m?c ph?t mà Lê Van Hùng ph?i ch?u theo B? lu?t Giao thông du?ng b? Vi?t Nam.","Ð?i v?i tình hu?ng: Vào lúc 17:30 phút ngày 20/9/2023, t?i giao l? du?ng 2 chi?u, du?ng ph? Nguy?n Th? Minh Khai, qu?n 10, Thành ph? H? Chí Minh, m?t chi?c xe ô tô lo?i 4 ch? (dang ký s? 21A34567) du?c lái b?i Lê Van Hùng, khi dang di chuy?n v?i t?c d? 70 km/h trên l? ph?i (di?u ki?n gi?i h?n t?c d? 50 km/h) và không deo dây an toàn khi dã d?ng t?i dèn d?, dã vi ph?m hai hành vi giao thông: (1) vu?t t?c d? quy d?nh; (2) không deo dây an toàn. Hãy li?t kê các hành vi vi ph?m và m?c ph?t mà Lê Van Hùng ph?i ch?u theo B? lu?t Giao thông du?ng b? Vi?t Nam.
Theo Lu?t Giao thông du?ng b? Vi?t Nam, B? lu?t Giao thông du?ng b? Vi?t Nam, x? lý nhu sau:
1. Vu?t t?c d? quy d?nh
Ðang di chuy?n v?i t?c d? 70 km/h trên l? ph?i khi gi?i h?n t?c d? là 50 km/h.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Không deo dây an toàn khi dã d?ng t?i dèn d?
Không deo dây an toàn khi dã d?ng t?i dèn d?.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: B? lu?t Giao thông du?ng b? Vi?t Nam, 70, Ði?u 70; B? lu?t Giao thông du?ng b? Vi?t Nam, 71, Ði?u 71.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 10 tri?u d?ng d?n 20 tri?u d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 10,000,000 – 20,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào lúc 02:30 sáng, ngày 22/11/2023, t?i ngã tu du?ng cao t?c Hà N?i – H?i Phòng, m?t chi?c xe máy dang: (1) ch?y t?c d? 160 km/h, vu?t m?c gi?i h?n t?c d? 120 km/h quy d?nh cho khu v?c; (2) lái xe trong tình tr?ng ru?u c?n, vu?t quá gi?i h?n phép cho phép, d?ng th?i (3) không d?i mu b?o hi?m và b? qua tín hi?u dèn giao thông; (4) không gi? kho?ng cách an toàn khi ch? t?i dèn d?. Trong tình hu?ng này, ngu?i vi ph?m dang th?c hi?n nh?ng hành vi vi ph?m giao thông nào, và theo quy d?nh pháp lu?t Vi?t Nam, các hình ph?t có th? áp d?ng là gì?","Ð?i v?i tình hu?ng: Vào lúc 02:30 sáng, ngày 22/11/2023, t?i ngã tu du?ng cao t?c Hà N?i – H?i Phòng, m?t chi?c xe máy dang: (1) ch?y t?c d? 160 km/h, vu?t m?c gi?i h?n t?c d? 120 km/h quy d?nh cho khu v?c; (2) lái xe trong tình tr?ng ru?u c?n, vu?t quá gi?i h?n phép cho phép, d?ng th?i (3) không d?i mu b?o hi?m và b? qua tín hi?u dèn giao thông; (4) không gi? kho?ng cách an toàn khi ch? t?i dèn d?. Trong tình hu?ng này, ngu?i vi ph?m dang th?c hi?n nh?ng hành vi vi ph?m giao thông nào, và theo quy d?nh pháp lu?t Vi?t Nam, các hình ph?t có th? áp d?ng là gì?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 30/2009/QH13, x? lý nhu sau:
1. Vu?t t?c d?
Ch?y t?c d? 160 km/h vu?t m?c gi?i h?n 120 km/h
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Lái xe trong tình tr?ng ru?u c?n
Vu?t quá gi?i h?n phép cho phép
M?c ph?t ti?n: t? 10,000,000 – 20,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
3. Không d?i mu b?o hi?m
Không d?i mu b?o hi?m khi lái xe máy
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
4. B? qua tín hi?u dèn giao thông
Không tuân th? tín hi?u dèn giao thông
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
5. Không gi? kho?ng cách an toàn
Không gi? kho?ng cách an toàn khi ch? t?i dèn d?
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
Can c?: Lu?t Giao thông du?ng b? 30/2009/QH13, Ði?u 71, Vu?t t?c d?; Lu?t Giao thông du?ng b? 30/2009/QH13, Ði?u 72, Lái xe trong tình tr?ng ru?u c?n; Lu?t Giao thông du?ng b? 30/2009/QH13, Ði?u 73, Không d?i mu b?o hi?m; Lu?t Giao thông du?ng b? 30/2009/QH13, Ði?u 74, B? qua tín hi?u dèn giao thông; Lu?t Giao thông du?ng b? 30/2009/QH13, Ði?u 75, Không gi? kho?ng cách an toàn.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 18.000.000 d?n 39.000.000 d?ng), và có nguy co b? tu?c GPLX t?i da 12 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 18,000,000 – 39,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng."
"Vào lúc 22h30, trên du?ng t?nh thành Phú Th?, m?t chi?c xe máy dang di chuy?n theo hu?ng Ðông qua ngã tu du?ng ?ng hai lane, khi dèn giao thông chuy?n sang màu d?, ngu?i lái v?n ti?p t?c di chuy?n mà không d?ng l?i. Ð?ng th?i, ngu?i lái cung dã vu?t qua bi?n d?ng và không b?t tín hi?u tru?c khi r? sang bên ph?i. Hành vi nào ngu?i lái dã vi ph?m lu?t giao thông trong tru?ng h?p này?","Ð?i v?i tình hu?ng: Vào lúc 22h30, trên du?ng t?nh thành Phú Th?, m?t chi?c xe máy dang di chuy?n theo hu?ng Ðông qua ngã tu du?ng ?ng hai lane, khi dèn giao thông chuy?n sang màu d?, ngu?i lái v?n ti?p t?c di chuy?n mà không d?ng l?i. Ð?ng th?i, ngu?i lái cung dã vu?t qua bi?n d?ng và không b?t tín hi?u tru?c khi r? sang bên ph?i. Hành vi nào ngu?i lái dã vi ph?m lu?t giao thông trong tru?ng h?p này?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b?, x? lý nhu sau:
1. Không d?ng l?i khi dèn d?
Xe máy ti?p t?c di chuy?n khi dèn giao thông chuy?n sang màu d?.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
2. Không d?ng l?i khi bi?n d?ng
Xe máy vu?t qua bi?n d?ng.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
3. Không b?t tín hi?u tru?c khi r?
Xe máy không b?t tín hi?u khi r? sang bên ph?i.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
Can c?: Lu?t Giao thông du?ng b?, 44, Ði?u 44; Lu?t Giao thông du?ng b?, 45, Ði?u 45; Lu?t Giao thông du?ng b?, 46, Ði?u 46.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 15,000,000 d?n 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 15,000,000 – 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng."
"Công dân Nguy?n Van A dang lái xe máy trên du?ng qu?c l? 1A (du?ng b? hai làn, t?c d? 80 km/h), vào lúc 6:30 chi?u, anh d?ng l?i khi nh?n th?y dèn giao thông dã chuy?n sang d?. Tuy nhiên, vì mu?n g?p, anh dã vu?t qua dèn d?, ti?p t?c lái qua m?t chi?c xe t?i dang d? ? l? du?ng, sau dó lái xe máy vu?t vào chi?u ngu?c l?i trên m?t do?n du?ng chéo và không d?i mu b?o hi?m. Trong tình hu?ng này, các hành vi vi ph?m giao thông nào?","Ð?i v?i tình hu?ng: Công dân Nguy?n Van A dang lái xe máy trên du?ng qu?c l? 1A (du?ng b? hai làn, t?c d? 80 km/h), vào lúc 6:30 chi?u, anh d?ng l?i khi nh?n th?y dèn giao thông dã chuy?n sang d?. Tuy nhiên, vì mu?n g?p, anh dã vu?t qua dèn d?, ti?p t?c lái qua m?t chi?c xe t?i dang d? ? l? du?ng, sau dó lái xe máy vu?t vào chi?u ngu?c l?i trên m?t do?n du?ng chéo và không d?i mu b?o hi?m.
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b?, x? lý nhu sau:
1. Vu?t qua dèn d?
di qua dèn giao thông chuy?n sang d?
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
2. Vu?t qua xe dang d?ng
di qua xe t?i dang d? ? l? du?ng
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
3. Ði ngu?c chi?u
di vào chi?u ngu?c l?i trên do?n du?ng chéo
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
4. Không d?i mu b?o hi?m
không d?i mu b?o hi?m khi lái xe máy
M?c ph?t ti?n: t? 500,000 – 500,000 d?ng.
Can c?: Lu?t Giao thông du?ng b?, 54, Vu?t qua dèn d?; Lu?t Giao thông du?ng b?, 53, Vu?t qua xe dang d?ng; Lu?t Giao thông du?ng b?, 55, Ði ngu?c chi?u; Lu?t Giao thông du?ng b?, 56, Không d?i mu b?o hi?m.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 3,500,000 d?n 3,500,000 d?ng), và có nguy co b? tu?c GPLX t?i da 0 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 3,500,000 – 3,500,000 d?ng)."
"Vào lúc 19h30 ngày 12/04/2023, t?i ngã tu du?ng Tr?n Hung Ð?o và du?ng t?nh Ðu?ng, trên do?n du?ng qu?c l? 1A (du?ng b? c?p 1), m?t xe t?i thô (có ký hi?u ""V"" – t?i tr?ng 2.5 t?n) dang di chuy?n theo chi?u Tây, khi t?i ngã tu dã: 1) ti?p t?c di qua dèn giao thông d?; 2) lùi xe m?t quãng dài d? d?y ngu?i nuong lên gh? 2 c?a xe t?i, vi ph?m lu?t giao thông du?ng b? Vi?t Nam. Trong tình hu?ng này, ngu?i lái xe dã vi ph?m nh?ng quy d?nh nào c?a Lu?t Giao thông du?ng b??","Ð?i v?i tình hu?ng: Vào lúc 19h30 ngày 12/04/2023, t?i ngã tu du?ng Tr?n Hung Ð?o và du?ng t?nh Ðu?ng, trên do?n du?ng qu?c l? 1A (du?ng b? c?p 1), m?t xe t?i thô (có ký hi?u ""V"" – t?i tr?ng 2.5 t?n) dang di chuy?n theo chi?u Tây, khi t?i ngã tu dã: 1) ti?p t?c di qua dèn giao thông d?; 2) lùi xe m?t quãng dài d? d?y ngu?i nuong lên gh? 2 c?a xe t?i, vi ph?m lu?t giao thông du?ng b? Vi?t Nam. Trong tình hu?ng này, ngu?i lái xe dã vi ph?m nh?ng quy d?nh nào c?a Lu?t Giao thông du?ng b? Vi?t Nam.
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2009, x? lý nhu sau:
1. Vu?t qua dèn giao thông d?
Xe t?i ti?p t?c di chuy?n khi dèn giao thông dang d?, vi ph?m quy d?nh không vu?t qua dèn d?.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Th?c hi?n hành vi gây nguy hi?m khi lùi xe d? d?y ngu?i nuong lên gh? 2
Lùi xe m?t quãng dài d? d?y ngu?i nuong lên gh? 2 gây nguy hi?m cho ngu?i khác và vi ph?m quy d?nh v? hành vi gây nguy hi?m.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? 2009, 66, 1; Lu?t Giao thông du?ng b? 2009, 68, 1; Lu?t Giao thông du?ng b? 2009, 69, 1.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 15,000,000 d?n 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 10,000,000 – 20,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào lúc 7 gi? sáng ngày 12/07/2024, trên do?n du?ng Ðu?ng Tr?n Ð?i Nghia (du?ng cao t?c 2 chi?u) t?i Qu?n 2, TP.HCM, m?t chi?c xe máy do Nguy?n Van A di?u khi?n dang ch?y trên d?i bên ph?i nhung dã nh?y sang d?i bên trái d? vu?t qua m?t chi?c xe t?i, d?ng th?i không d?i mu b?o hi?m khi lái xe và vu?t qua l? xe c?m. N?u c?nh sát giao thông phát hi?n và x? lý Nguy?n Van A, anh ta dã ph?m vi hành vi vi ph?m giao thông nào trong tình hu?ng này và m?c ph?t pháp lý tuong ?ng theo quy d?nh c?a Lu?t Giao thông du?ng b? Vi?t Nam?","Ð?i v?i tình hu?ng: Vào lúc 7 gi? sáng ngày 12/07/2024, trên do?n du?ng Ðu?ng Tr?n Ð?i Nghia (du?ng cao t?c 2 chi?u) t?i Qu?n 2, TP.HCM, m?t chi?c xe máy do Nguy?n Van A di?u khi?n dang ch?y trên d?i bên ph?i nhung dã nh?y sang d?i bên trái d? vu?t qua m?t chi?c xe t?i, d?ng th?i không d?i mu b?o hi?m khi lái xe và vu?t qua l? xe c?m. N?u c?nh sát giao thông phát hi?n và x? lý Nguy?n Van A, anh ta dã ph?m vi hành vi vi ph?m giao thông nào trong tình hu?ng này và m?c ph?t pháp lý tuong ?ng theo quy d?nh c?a Lu?t Giao thông du?ng b? Vi?t Nam?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b?, x? lý nhu sau:
1. Vu?t qua trên d?i bên trái
Chuy?n sang d?i bên trái d? vu?t qua xe t?i trên du?ng cao t?c.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Vu?t qua l? xe c?m
Vu?t qua trong khu v?c l? xe c?m.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
3. Không d?i mu b?o hi?m khi lái xe
Lái xe máy mà không d?i mu b?o hi?m.
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b?, 66, 1; Lu?t Giao thông du?ng b?, 66, 2; Lu?t Giao thông du?ng b?, 67.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 11000000 d?n 23000000 d?ng), và có nguy co b? tu?c GPLX t?i da 9 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 11,000,000 – 23,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào lúc 19h00 ngày 5/11/2023, t?i giao l? du?ng t?nh l? 8 và du?ng t?nh l? 12, m?t chi?c xe t?i t?i hàng và m?t chi?c xe máy dã tham gia vòng xoay; xe t?i dã vu?t qua rào ch?n, không gi? kho?ng cách an toàn và v?n t?c c?a xe vu?t quá gi?i h?n, trong khi xe máy không d?i mu b?o hi?m, dã ngu?c chi?u khi tru?t l? vào vòng xoay. D?a trên Lu?t Giao thông du?ng b? Vi?t Nam, các hành vi vi ph?m nào c?a hai phuong ti?n này c?n du?c xác d?nh và nh?ng hình th?c x? lý pháp lý phù h?p s? là gì?","Ð?i v?i tình hu?ng: Vào lúc 19h00 ngày 5/11/2023, t?i giao l? du?ng t?nh l? 8 và du?ng t?nh l? 12, m?t chi?c xe t?i t?i hàng và m?t chi?c xe máy dã tham gia vòng xoay; xe t?i dã vu?t qua rào ch?n, không gi? kho?ng cách an toàn và v?n t?c c?a xe vu?t quá gi?i h?n, trong khi xe máy không d?i mu b?o hi?m, dã ngu?c chi?u khi tru?t l? vào vòng xoay. D?a trên Lu?t Giao thông du?ng b? Vi?t Nam, các hành vi vi ph?m nào c?a hai phuong ti?n này c?n du?c xác d?nh và nh?ng hình th?c x? lý pháp lý phù h?p s? là gì?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? Vi?t Nam, x? lý nhu sau:
1. Vu?t qua rào ch?n
Xe t?i vu?t qua rào ch?n t?i giao l?
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Không gi? kho?ng cách an toàn
Xe t?i không gi? kho?ng cách an toàn v?i phuong ti?n phía tru?c
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
3. V?n t?c vu?t quá gi?i h?n
Xe t?i v?n t?c vu?t quá gi?i h?n quy d?nh t?i giao l?
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
4. Không d?i mu b?o hi?m
Xe máy không d?i mu b?o hi?m khi tham gia vòng xoay
M?c ph?t ti?n: t? 1,000,000 – 2,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
5. Ngu?c chi?u khi tru?t l? vào vòng xoay
Xe máy ngu?c chi?u khi tru?t l? vào vòng xoay
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? Vi?t Nam, 60, Vi ph?m bi?n báo, tín hi?u, d?u hi?u giao thông; Lu?t Giao thông du?ng b? Vi?t Nam, 61, Vi ph?m kho?ng cách an toàn; Lu?t Giao thông du?ng b? Vi?t Nam, 62, Vi ph?m gi?i h?n t?c d?; Lu?t Giao thông du?ng b? Vi?t Nam, 57, Vi ph?m không d?i mu b?o hi?m; Lu?t Giao thông du?ng b? Vi?t Nam, 63, Vi ph?m quy t?c giao thông.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 21000000 d?n 42000000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 21,000,000 – 42,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"M?t lái xe t?i, vào lúc 06h00 t?i do?n du?ng hai làn c?a Qu?c l? 1B gi?a thành ph? Nha Trang và t?nh Kon Tum, dang lái xe v?i t?c d? 120 km/h (vu?t gi?i h?n 100 km/h) qua m?t di?m d?ng có hi?u l?nh d?ng, d?ng th?i không deo dây an toàn. Hành vi vi ph?m giao thông nào x?y ra trong tình hu?ng này?","Ð?i v?i tình hu?ng: M?t lái xe t?i, vào lúc 06h00 t?i do?n du?ng hai làn c?a Qu?c l? 1B gi?a thành ph? Nha Trang và t?nh Kon Tum, dang lái xe v?i t?c d? 120 km/h (vu?t gi?i h?n 100 km/h) qua m?t di?m d?ng có hi?u l?nh d?ng, d?ng th?i không d?i mu b?o hi?m.
Theo Lu?t Giao thông du?ng b? Vi?t Nam, x? lý nhu sau:
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 7,000,000 d?n 14,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào sáng ngày 12/08/2024, t?i do?n du?ng 2km t? ch? giao l? Hòa Bình - Phuong Nam, thành ph? C?n Tho, m?t chi?c xe t?i t?i tr?c don màu xanh lá dang di chuy?n trên du?ng cao t?c, dã: (i) không deo dây an toàn khi có hành khách 3 ngu?i; (ii) dang s? d?ng di?n tho?i di d?ng trong khi di?u khi?n xe; (iii) khi t?i ngã tu, dã vu?t qua tín hi?u dèn d? và ti?p t?c vào vòng ch? c?a giao thông du?ng b?; (iv) sau khi d? ? ch? d?ng xe t?i ngay du?i d?ng xe buýt, xe t?i dã chuy?n vào làn du?ng dành cho xe ô tô d? vu?t qua m?t chi?c xe hoi dang d?i d? xe. Hình th?c vi ph?m giao thông nào du?c ràng bu?c trong tình hu?ng này và trách nhi?m pháp lý mà chi?c xe t?i có th? ph?i ch?u?","Ð?i v?i tình hu?ng: Vào sáng ngày 12/08/2024, t?i do?n du?ng 2km t? ch? giao l? Hòa Bình - Phuong Nam, thành ph? C?n Tho, m?t chi?c xe t?i t?i tr?c don màu xanh lá dang di chuy?n trên du?ng cao t?c, dã: (i) không deo dây an toàn khi có hành khách 3 ngu?i; (ii) dang s? d?ng di?n tho?i di d?ng trong khi di?u khi?n xe; (iii) khi t?i ngã tu, dã vu?t qua tín hi?u dèn d? và ti?p t?c vào vòng ch? c?a giao thông du?ng b?; (iv) sau khi d? ? ch? d?ng xe t?i ngay du?i d?ng xe buýt, xe t?i dã chuy?n vào làn du?ng dành cho xe ô tô d? vu?t qua m?t chi?c xe hoi dang d?i d? xe. Hình th?c vi ph?m giao thông nào du?c ràng bu?c trong tình hu?ng này và trách nhi?m pháp lý mà chi?c xe t?i có th? ph?i ch?u?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2019, x? lý nhu sau:
1. Không deo dây an toàn khi có hành khách
Không deo dây an toàn khi có 3 hành khách
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
2. S? d?ng di?n tho?i di d?ng trong khi di?u khi?n xe
S? d?ng di?n tho?i di d?ng khi di?u khi?n xe
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
3. Vu?t qua tín hi?u dèn d? và ti?p t?c vào vòng ch?
Vu?t tín hi?u dèn d? và ti?p t?c vào vòng ch?
M?c ph?t ti?n: t? 10,000,000 – 20,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
4. Chuy?n vào làn du?ng dành cho xe ô tô d? vu?t qua xe hoi
Chuy?n vào làn du?ng dành cho xe ô tô d? vu?t qua xe hoi dang d?i d? xe
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Can c?: Lu?t Giao thông du?ng b? 2019, 55, 1; Lu?t Giao thông du?ng b? 2019, 55, 2; Lu?t Giao thông du?ng b? 2019, 55, 4; Lu?t Giao thông du?ng b? 2019, 55, 6.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 25 tri?u d?n 50 tri?u d?ng), và có nguy co b? tu?c GPLX t?i da 1 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 25,000,000 – 50,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 1 tháng."
